"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 5 Gigabit","$0.0047 hourly","$0.0030 hourly","$0.0024 hourly","unavailable","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","Up to 5 Gigabit","$0.0053 hourly","$0.0033 hourly","$0.0015 hourly","$0.0099 hourly","$0.0079 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","Intel Skylake E5 2686 v5","3.1 GHz","EBS only","Up to 5 Gigabit","$0.0059 hourly","$0.0037 hourly","$0.0015 hourly","$0.0105 hourly","$0.0083 hourly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs                                                         for a                   1h 12m                   burst","Intel Xeon Family","Up to 3.3 GHz","EBS only","Low to Moderate","$0.0066 hourly","$0.0045 hourly","unavailable","$0.0089 hourly","$0.0068 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 5 Gigabit","$0.0094 hourly","$0.0059 hourly","$0.0024 hourly","unavailable","unavailable"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","Up to 5 Gigabit","$0.0106 hourly","$0.0067 hourly","$0.0022 hourly","$0.0198 hourly","$0.0159 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","Intel Skylake E5 2686 v5","3.1 GHz","EBS only","Up to 5 Gigabit","$0.0118 hourly","$0.0074 hourly","$0.0019 hourly","$0.0210 hourly","$0.0166 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","Intel Xeon Family","Up to 3.3 GHz","EBS only","Low to Moderate","$0.0132 hourly","$0.0091 hourly","$0.0024 hourly","$0.0178 hourly","$0.0137 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 5 Gigabit","$0.0188 hourly","$0.0119 hourly","$0.0052 hourly","unavailable","unavailable"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","Up to 5 Gigabit","$0.0212 hourly","$0.0134 hourly","$0.0074 hourly","$0.0396 hourly","$0.0318 hourly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","Intel Skylake E5 2686 v5","3.1 GHz","EBS only","Up to 5 Gigabit","$0.0236 hourly","$0.0149 hourly","$0.0043 hourly","$0.0420 hourly","$0.0333 hourly"
"T2 Small","t2.small","2.0 GiB","1 vCPUs                                                         for a                   4h 48m                   burst","Intel Xeon Family","Up to 3.3 GHz","EBS only","Low to Moderate","$0.0260 hourly","$0.0182 hourly","$0.0076 hourly","$0.0352 hourly","$0.0274 hourly"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 5 Gigabit","$0.0376 hourly","$0.0237 hourly","$0.0102 hourly","unavailable","unavailable"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 10 Gigabit","$0.0404 hourly","$0.0255 hourly","$0.0103 hourly","unavailable","unavailable"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","Up to 5 Gigabit","$0.0425 hourly","$0.0268 hourly","$0.0163 hourly","$0.0609 hourly","$0.0452 hourly"
"C7G Medium","c7g.medium","2.0 GiB","1 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 12.5 Gigabit","$0.0429 hourly","$0.0283 hourly","$0.0111 hourly","unavailable","unavailable"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","AWS Graviton2 Processor","unknown","EBS only","Up to 10 Gigabit","$0.0444 hourly","$0.0280 hourly","$0.0110 hourly","unavailable","unavailable"
"C6GD Medium","c6gd.medium","2.0 GiB","1 vCPUs","AWS Graviton2 Processor","2.5 GHz","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0460 hourly","$0.0290 hourly","$0.0148 hourly","unavailable","unavailable"
